Credit_Score,Income,Employment_Status,Assets,Loan_Amount,Loan_Term
778,9600000, No,2400000,29900000,12
417,4100000, Yes,2700000,12200000,8
506,9100000, No,7100000,29700000,20
467,8200000, No,18200000,30700000,8
382,9800000, Yes,12400000,24200000,20
319,4800000, Yes,6800000,13500000,10
678,8700000, No,22500000,33000000,4
382,5700000, Yes,13200000,15000000,20
782,800000, Yes,1300000,2200000,20
388,1100000, No,3200000,4300000,10
547,2900000, Yes,8100000,11200000,2
538,6700000, Yes,15300000,22700000,18
311,5000000, Yes,6400000,11600000,16
679,9100000, Yes,10800000,31500000,14
469,1900000, No,1900000,7400000,6
794,4700000, No,5700000,10700000,10
663,500000, Yes,1300000,1600000,4
780,2900000, Yes,2900000,9400000,14
736,2700000, No,1000000,10300000,10
652,6300000, No,10300000,14600000,12
315,5000000, No,9500000,19400000,12
530,5800000, No,3800000,14000000,16
311,6500000, Yes,13100000,25700000,18
551,500000, Yes,900000,1400000,2
324,4900000, No,3800000,9800000,16
514,3100000, No,7900000,9500000,20
696,8200000, No,11500000,28100000,12
662,2400000, Yes,4500000,5600000,4
336,7000000, Yes,2300000,24000000,6
850,9000000, Yes,21800000,31500000,10
313,9800000, No,20200000,25300000,12
363,5700000, No,3600000,12000000,6
436,800000, Yes,700000,1600000,10
830,8400000, Yes,3800000,22000000,2
612,4900000, No,9700000,11900000,8
691,1700000, Yes,2700000,3400000,8
636,1600000, No,3400000,6200000,18
348,8000000, Yes,6400000,27200000,6
830,3600000, No,7000000,7700000,16
352,1500000, Yes,100000,5100000,6
712,7800000, No,8600000,18100000,2
822,9100000, No,22300000,24900000,16
540,1400000, No,200000,3400000,6
342,800000, Yes,2200000,2300000,12
787,6500000, No,18200000,13400000,18
331,8000000, No,13000000,27800000,16
679,4200000, Yes,2400000,14600000,6
677,4900000, Yes,5400000,19100000,14
634,5500000, No,800000,20500000,12
662,9500000, Yes,100000,19100000,16
502,7300000, No,500000,25400000,16
435,8700000, No,6800000,24700000,10
689,3800000, No,8700000,7600000,4
657,8400000, Yes,15400000,23000000,12
590,5100000, Yes,7400000,19700000,20
818,6700000, No,1200000,24500000,12
431,4300000, No,2100000,10600000,18
841,9300000, Yes,19300000,30500000,18
421,7400000, No,18500000,18400000,20
797,5500000, Yes,-100000,18200000,16
478,8500000, No,23800000,18900000,18
669,9600000, Yes,4700000,30500000,18
365,8800000, Yes,24400000,28900000,6
586,3300000, Yes,1600000,7500000,20
784,3900000, Yes,7600000,12300000,18
364,4100000, No,9500000,10300000,12
715,8300000, No,6100000,29100000,10
693,2700000, Yes,200000,10100000,20
777,5600000, No,5500000,12400000,4
312,1900000, No,4000000,5000000,12
340,500000, Yes,100000,1500000,20
386,5300000, Yes,2700000,18600000,4
418,7000000, No,18400000,18300000,4
735,5800000, Yes,3900000,16700000,16
494,2600000, No,6500000,8400000,6
671,1900000, No,600000,6500000,18
697,5700000, No,14300000,14800000,16
801,9000000, No,11600000,33500000,8
576,8500000, No,17600000,29400000,12
639,700000, No,1900000,1400000,14
470,3500000, No,1300000,8900000,4
826,8800000, No,2900000,31200000,4
363,9900000, Yes,25500000,21200000,16
613,3600000, No,9400000,8600000,20
713,3000000, Yes,5300000,8200000,16
439,6800000, No,17100000,21200000,16
387,1100000, Yes,1300000,3800000,18
402,8700000, Yes,20400000,28300000,8
837,2000000, Yes,5100000,8000000,6
641,9800000, No,24100000,37600000,10
489,5700000, No,500000,21100000,18
540,8800000, No,19200000,20700000,18
844,3800000, No,9100000,8900000,4
452,1700000, No,900000,6400000,10
366,1000000, No,1200000,2000000,10
300,300000, No,100000,1100000,2
470,6600000, Yes,1200000,15000000,18
861,8700000, No,14700000,25000000,20
562,9400000, No,25900000,29400000,12
463,4400000, No,2400000,10800000,14
478,400000, No,700000,900000,12
702,300000, Yes,300000,1100000,2
618,4300000, Yes,11400000,12900000,20
633,1600000, No,700000,4500000,12
331,6200000, Yes,18500000,23600000,10
841,4200000, Yes,7800000,9700000,16
764,9000000, Yes,600000,18100000,12
591,2700000, No,1300000,10600000,6
719,9700000, Yes,19600000,35900000,2
317,3300000, No,3400000,6800000,14
778,300000, No,800000,1100000,8
